STP_ps_emergency_cabinet_prepared	Activate the Reserve Headquarters
STP_ps_emergency_cabinet_prepared_desc	600 treasury units and 7 days. The prepared headquarters assumes the government's functions; reorganisation resumes from its saved duration.
STP_ps_transport_idea	Military Transport
STP_ps_route_guard_idea	Government Route Security
STP_ps_reserve_idea	Operational Reserve
STP_ps_engineers_idea	Northern Engineering Mission
STP_ps_expedition_idea	Expeditionary Supply
STP_ps_fund_nod	A Loan to Nodrul
STP_ps_fund_nod_desc	14 days of preparation, followed by 7 days of delivery. Nodrul receives exactly 1500 treasury units. Repeatable after 42 days. Cancellation before dispatch refunds the entire reserve; after dispatch, transport costs are not refunded, and the cargo is delivered to an eligible Nodrul or lost.
STP_ps_arm_nod	Weapons for the Northern Front
STP_ps_arm_nod_desc	14 days of preparation, followed by 7 days of delivery. Sends 1200 rifles, 100 artillery pieces and 60 support equipment from our stockpile; 300 treasury units pay for transport. Repeatable after 28 days. Cancellation before dispatch refunds the entire reserve; after dispatch, transport costs are not refunded, and the cargo is delivered to an eligible Nodrul or lost. If the northern war ends before dispatch, the money and weapons are automatically returned.
STP_ps_engineers_nod	Engineering Mission
STP_ps_engineers_nod_desc	21 days of preparation, followed by 7 days of delivery. Upon arrival, 60 days of service grant -10% supply consumption and +5% organisation recovery. Available only while the northern war continues. Cancellation before dispatch refunds the entire reserve; after dispatch, transport costs are not refunded, and the cargo is delivered to an eligible Nodrul or lost. If the northern war ends before dispatch, the entire reserved amount is automatically returned.
STP_ps_expedition_nod	Prepare Expeditionary Supply
STP_ps_expedition_nod_desc	21 days of preparation, followed by 7 days of delivery. One intervention reserve grants -10% supply consumption for 42 days after Nodrul actually enters the war. Readiness requirements and the mandatory seven-day redeployment are not shortened. Cancellation before dispatch refunds the entire reserve; after dispatch, transport costs are not refunded, and the cargo is delivered to an eligible Nodrul or lost. If intervention becomes impossible before dispatch and Nodrul has not yet entered the war against Shabrat, the entire amount is automatically returned.
STP_ps_exile	Party Representation in Nodrul
STP_ps_cancel_nod	Cancel Northern Package Preparation
STP_ps_nod_dispatch	Preparing the Northern Package
STP_ps_nod_delivery	Northern Package in Transit
STP_ps_agreement_title	A Protocol with Stelander
STP_ps_agreement_desc	The Party government proposes sending loans, weapons and specialists at its own expense. Acceptance does not oblige Nodrul to declare war or spend its own treasury funds. Possible asylum for the Party leadership will be discussed in a separate protocol.
STP_ps_agreement_accept	Accept the agreed aid packages.
STP_ps_agreement_decline	Decline these commitments.
STP_ps_nod_rifle_purchase	Purchase Rifles for the Northern Front
